Date/Time Start,2019-02-24 10:17:57.289441
Episode,Score,Mem Lenght,Epsilon,Global Step,Average_q,Average_Loss,Frames
0,6.0,295,1.0,295,0.12625218859668505,0.0,295
1,6.0,699,1.0,699,0.12623830952930568,0.0,699
2,33.0,1278,0.9997498000000082,1278,0.11511346828417662,0.008466908590341733,1278
3,6.0,1726,0.9993466000000215,1726,0.06612397751762598,0.015162344912953683,1726
4,25.0,2084,0.9990244000000321,2084,0.05595050444150104,0.014369568549237714,2084
5,6.0,2385,0.998753500000041,2385,0.055409379798510544,0.01777956230893493,2385
6,6.0,2853,0.9983323000000549,2853,0.05509709499967404,0.015278849879485698,2853
7,6.0,3304,0.9979264000000683,3304,0.03823719294679799,0.01407826012965837,3304
8,7.0,3633,0.997630300000078,3633,0.0209024907075616,0.012880708179599394,3633
9,20.0,4010,0.9972910000000892,4010,0.08056753538474835,0.014415139006713247,4010
10,23.0,4444,0.996900400000102,4444,0.0717904071853612,0.01568820399958061,4444
11,6.0,4820,0.9965620000001132,4820,0.024389991788144046,0.01473670697336313,4820
12,6.0,5136,0.9962776000001226,5136,0.029540201003627874,0.01441742404646983,5136
13,18.0,5445,0.9959995000001317,5445,0.08610806327228793,0.0146848516933195,5445
14,21.0,5982,0.9955162000001476,5982,0.07048871355509348,0.014622859288053847,5982
15,6.0,6328,0.9952048000001579,6328,0.0804034205344694,0.0152225889274117,6328
16,16.0,6677,0.9948907000001682,6677,0.11826559943400515,0.014768694922558825,6677
17,6.0,6972,0.994625200000177,6972,0.08327463978933075,0.013996556058912774,6972
18,37.0,7553,0.9941023000001942,7553,0.10719574843140611,0.0152490796642931,7553
19,6.0,7918,0.993773800000205,7918,0.062287119168737165,0.01494853226994228,7918
20,7.0,8272,0.9934552000002155,8272,0.09059155429581885,0.01480110366003309,8272
21,6.0,8680,0.9930880000002276,8680,0.06720872976652839,0.01456058061582963,8680
22,6.0,9073,0.9927343000002392,9073,0.04982074686390071,0.015107369275808656,9073
23,6.0,9429,0.9924139000002498,9429,0.034352421177174436,0.013139300922610734,9429
24,7.0,9804,0.9920764000002609,9804,0.09515262779841821,0.013360288141140094,9804
25,6.0,10198,0.9917218000002725,10198,0.07122815166585866,0.013837846078975528,10198
26,6.0,10573,0.9913843000002837,10573,0.06709530161569516,0.013035400563385337,10573
27,7.0,10909,0.9910819000002936,10909,0.10713650631285938,0.012573719265804226,10909
28,6.0,11308,0.9907228000003054,11308,0.11046646720027192,0.011736517770911442,11308
29,6.0,11690,0.9903790000003168,11690,0.07071690728000478,0.01219972304457979,11690
30,6.0,12156,0.9899596000003306,12156,0.05118407392394709,0.010278287078811019,12156
31,7.0,12572,0.9895852000003429,12572,0.060755778157796994,0.010339118548542432,12572
32,7.0,12891,0.9892981000003523,12891,0.08066652507629234,0.010099741540298883,12891
33,6.0,13357,0.9888787000003662,13357,0.05176119321893277,0.00969321812799574,13357
34,7.0,13723,0.988549300000377,13723,0.12617258162649927,0.009731877627868403,13723
35,7.0,14094,0.988215400000388,14094,0.11867661254023606,0.009237835310039303,14094
36,6.0,14406,0.9879346000003972,14406,0.06285539376310623,0.010343415326086612,14406
37,6.0,14789,0.9875899000004086,14789,0.06290598002848441,0.009199149275773665,14789
38,6.0,15174,0.98724340000042,15174,0.0580367505114961,0.007877723200249716,15174
39,7.0,15504,0.9869464000004298,15504,0.06535867203704336,0.009602113817483328,15504
40,22.0,16010,0.9864910000004448,16010,0.12529446838769634,0.009104205525225754,16010
41,20.0,16406,0.9861346000004565,16406,0.12482021741493783,0.00994976635006929,16406
42,6.0,16768,0.9858088000004672,16768,0.06452001860746033,0.009054645366380789,16768
43,6.0,17065,0.985541500000476,17065,0.06843650335389556,0.008664731575397192,17065
44,6.0,17511,0.9851401000004892,17511,0.04623297315024073,0.008658577199015692,17511
45,6.0,17879,0.9848089000005001,17879,0.0630120004415917,0.008526120351392741,17879
46,21.0,18203,0.9845173000005097,18203,0.14368749158686878,0.008390347030927156,18203
47,6.0,18591,0.9841681000005212,18591,0.09755461987050384,0.008294120367788038,18591
48,7.0,18933,0.9838603000005314,18933,0.07150274799995081,0.008753013222346256,18933
49,6.0,19300,0.9835300000005422,19300,0.05741022375973109,0.008592651390019494,19300
50,6.0,19751,0.9831241000005556,19751,0.045664955872191555,0.008087375756903466,19751
51,6.0,20102,0.982808200000566,20102,0.07290175013732367,0.00787890723464013,20102
52,7.0,20385,0.9825535000005744,20385,0.1966508678275789,0.009609013403208052,20385
53,34.0,20761,0.9822151000005855,20761,0.18678022557473245,0.008780390711840579,20761
54,6.0,21235,0.9817885000005996,21235,0.08079641315897432,0.009641014171159092,21235
55,6.0,21485,0.981563500000607,21485,0.15157933477312327,0.008814157175365836,21485
56,7.0,21862,0.9812242000006182,21862,0.17864686727464515,0.0085531037786558,21862
57,6.0,22250,0.9808750000006297,22250,0.09561768665756147,0.008099706217162935,22250
58,6.0,22612,0.9805492000006404,22612,0.09381548955892496,0.008310933686868102,22612
59,6.0,22993,0.9802063000006517,22993,0.086937344087938,0.00817334459877018,22993
60,6.0,23381,0.9798571000006632,23381,0.08651780098023795,0.00783860379771195,23381
61,23.0,23768,0.9795088000006746,23768,0.18473398167091284,0.007856656650432628,23768
62,6.0,24084,0.979224400000684,24084,0.10832737735767342,0.007582276501977238,24084
63,6.0,24470,0.9788770000006954,24470,0.08823412775491495,0.00759497651084775,24470
64,22.0,24808,0.9785728000007055,24808,0.2035266330035833,0.007992312963173681,24808
65,6.0,25302,0.9781282000007201,25302,0.07836176275543356,0.00783136715277792,25302
66,7.0,25667,0.9777997000007309,25667,0.10371696460634879,0.007492999933988545,25667
67,6.0,25982,0.9775162000007402,25982,0.10882994278910614,0.00726446036641146,25982
68,22.0,26433,0.9771103000007536,26433,0.1689270160712318,0.007011215383973708,26433
69,22.0,26797,0.9767827000007644,26797,0.2212634678305751,0.007563312750010352,26797
70,15.0,27091,0.9765181000007731,27091,0.2649097469616301,0.007588025252572356,27091
71,7.0,27493,0.976156300000785,27493,0.09534435410664152,0.008364936998733714,27493
72,22.0,27934,0.9757594000007981,27934,0.17588495162828843,0.007771363786776506,27934
73,6.0,28230,0.9754930000008069,28230,0.12392960032574027,0.008033155954664736,28230
74,6.0,28545,0.9752095000008162,28545,0.10185700200852893,0.007678974923005121,28545
75,6.0,28951,0.9748441000008282,28951,0.09785063382183096,0.0075252306715125365,28951
76,7.0,29264,0.9745624000008375,29264,0.10589184414464445,0.007186887543384408,29264
77,7.0,29668,0.9741988000008495,29668,0.09147033676744835,0.007495743621055424,29668
78,6.0,30076,0.9738316000008616,30076,0.08031429808276395,0.0072529005408475365,30076
79,6.0,30531,0.973422100000875,30531,0.09843667120887684,0.009886758332268673,30531
80,6.0,30837,0.9731467000008841,30837,0.14255624843359577,0.008123870936543468,30837
81,22.0,31468,0.9725788000009028,31468,0.17311252186609147,0.00821864977423633,31468
82,6.0,31848,0.9722368000009141,31848,0.20656514495219055,0.00828677703179174,31848
83,6.0,32298,0.9718318000009274,32298,0.1067800783738494,0.007906421212893394,32298
84,18.0,32604,0.9715564000009365,32604,0.36281067548088386,0.007882496104286558,32604
85,7.0,32903,0.9712873000009453,32903,0.24952696967732946,0.007947488683649653,32903
86,6.0,33293,0.9709363000009569,33293,0.11357742286263368,0.008059204089043375,33293
87,6.0,33609,0.9706519000009662,33609,0.13267013886236126,0.007475898817367262,33609
88,6.0,33924,0.9703684000009756,33924,0.13698387999856282,0.0073095436119252725,33924
89,7.0,34181,0.9701371000009832,34181,0.25598036887754727,0.008465919439913705,34181
90,6.0,34571,0.9697861000009947,34571,0.10904355126504715,0.007509513224552696,34571
91,20.0,34972,0.9694252000010066,34972,0.24158173194735721,0.007189121953603066,34972
92,6.0,35346,0.9690886000010177,35346,0.12410970254338043,0.007355173057870302,35346
93,7.0,35761,0.96871510000103,35761,0.17488337240843888,0.006948548352559018,35761
94,22.0,36411,0.9681301000010493,36411,0.4256155730783939,0.007056196981306689,36411
95,7.0,36779,0.9677989000010602,36779,0.13020674654525582,0.007395228814224854,36779
96,7.0,37026,0.9675766000010675,37026,0.22262756876375994,0.007169957249849537,37026
97,7.0,37302,0.9673282000010757,37302,0.2386100211761136,0.007198584627274059,37302
98,6.0,37603,0.9670573000010846,37603,0.13047505426297948,0.007353693231757718,37603
99,6.0,38128,0.9665848000011001,38128,0.1000291541644505,0.006280160969721952,38128
100,7.0,38396,0.9663436000011081,38396,0.24753641833398324,0.006626958659512978,38396
101,29.0,38791,0.9659881000011198,38791,0.26609399207407913,0.007103697616235601,38791
102,6.0,39142,0.9656722000011302,39142,0.1227541275725745,0.0066822478924135,39142
103,6.0,39597,0.9652627000011437,39597,0.09654659208851857,0.006743492342782422,39597
104,6.0,40042,0.9648622000011569,40042,0.10706965575057469,0.007214699142868892,40042
105,6.0,40361,0.9645751000011663,40361,0.14502500854782924,0.008547773612823722,40361
106,6.0,40660,0.9643060000011752,40660,0.15121922158576973,0.008209552177474102,40660
107,20.0,41067,0.9639397000011872,41067,0.4470340783275316,0.007605401858077007,41067
108,6.0,41453,0.9635923000011987,41453,0.13509931242566342,0.008300478327832391,41453
109,6.0,41749,0.9633259000012074,41749,0.15479456643397743,0.0071131802036983865,41749
110,7.0,42054,0.9630514000012165,42054,0.15676822393644052,0.006988093933495159,42054
111,19.0,42393,0.9627463000012265,42393,0.5076843899479658,0.006921337821292842,42393
112,7.0,42708,0.9624628000012359,42708,0.1699603944307282,0.007010658093661602,42708
113,6.0,43180,0.9620380000012498,43180,0.13327088791845462,0.0075370673943849645,43180
114,6.0,43532,0.9617212000012603,43532,0.1598817296008664,0.007293986390736377,43532
115,6.0,43921,0.9613711000012718,43921,0.12555567705692547,0.007078711636565568,43921
116,6.0,44308,0.9610228000012833,44308,0.12886051502492693,0.007175297723997033,44308
117,6.0,44675,0.9606925000012941,44675,0.13662842047027737,0.007166802853251343,44675
118,6.0,45028,0.9603748000013046,45028,0.12812586627879494,0.00626701651132473,45028
119,6.0,45349,0.9600859000013141,45349,0.15531922674903245,0.0072491604132495085,45349
120,6.0,45814,0.9596674000013279,45814,0.12723362435416508,0.006060995300355498,45814
121,10.0,46148,0.9593668000013378,46148,0.22496328598814097,0.006286063490848163,46148
122,34.0,46579,0.9589789000013506,46579,0.3012431383547816,0.006576087473896537,46579
123,21.0,47143,0.9584713000013673,47143,0.29152653334622686,0.007144479533434096,47143
124,7.0,47449,0.9581959000013763,47449,0.20196594267450516,0.007213836271404076,47449
125,7.0,47813,0.9578683000013871,47813,0.2343056355040152,0.007388494961740255,47813
126,6.0,48198,0.9575218000013985,48198,0.14340061651808875,0.006926556199021008,48198
127,17.0,48641,0.9571231000014117,48641,0.28227150316600336,0.007156286819674533,48641
128,7.0,48971,0.9568261000014214,48971,0.1507986547820496,0.006558281894787356,48971
129,22.0,49304,0.9565264000014313,49304,0.3411635698431784,0.006487217894510587,49304
130,6.0,49718,0.9561538000014436,49718,0.12465321380591048,0.006868240767122575,49718
131,21.0,50249,0.9556759000014593,50249,0.3073040834731526,0.00895774850203952,50249
132,6.0,50647,0.9553177000014711,50647,0.14952908407653395,0.008522150733337935,50647
133,6.0,51005,0.9549955000014817,51005,0.25618625667424844,0.008457638188762794,51005
134,7.0,51352,0.954683200001492,51352,0.278203235246692,0.009715209263162177,51352
135,6.0,51734,0.9543394000015033,51734,0.14290585552210583,0.007993077601005046,51734
136,7.0,52048,0.9540568000015126,52048,0.18573000566784742,0.00912782114264585,52048
137,20.0,52399,0.953740900001523,52399,0.3947760698908245,0.009229054885944271,52399
138,16.0,52703,0.953467300001532,52703,0.42328314488067437,0.009163580119906999,52703
139,6.0,53104,0.9531064000015439,53104,0.14667372133332002,0.008027916013680055,53104
140,6.0,53460,0.9527860000015544,53460,0.14489163507529523,0.007192477213547125,53460
141,6.0,53868,0.9524188000015665,53868,0.12953999937128494,0.007846797126238052,53868
142,24.0,54247,0.9520777000015778,54247,0.3976754508224515,0.007888677294241968,54247
143,6.0,54711,0.9516601000015915,54711,0.1418992106096241,0.008130594084299258,54711
144,6.0,55087,0.9513217000016027,55087,0.15731816344517977,0.00754925464245892,55087
145,7.0,55364,0.9510724000016109,55364,0.3108968477198578,0.008091310574799197,55364
146,6.0,55752,0.9507232000016224,55752,0.13107816755925258,0.007573610787431724,55752
147,6.0,56128,0.9503848000016335,56128,0.14552130669038346,0.008372631190100715,56128
148,6.0,56525,0.9500275000016453,56525,0.15300370688064574,0.008066761827328588,56525
149,6.0,56839,0.9497449000016546,56839,0.17813653714812486,0.008438194577862468,56839
150,36.0,57239,0.9493849000016664,57239,0.3823875660635531,0.007845256704604254,57239
151,6.0,57688,0.9489808000016797,57688,0.1190037261321311,0.008464848178019851,57688
152,6.0,58001,0.948699100001689,58001,0.16684556634614642,0.00711288366002959,58001
153,6.0,58452,0.9482932000017024,58452,0.12441034271421031,0.007403019363896409,58452
154,6.0,58914,0.947877400001716,58914,0.20738324607637795,0.007707737588567571,58914
155,22.0,59406,0.9474346000017306,59406,0.35942168674636177,0.007682791283440292,59406
156,6.0,59710,0.9471610000017396,59710,0.16729205189958998,0.008007130322144613,59710
157,6.0,60093,0.946816300001751,60093,0.15069337777657235,0.009496860211598382,60093
158,33.0,60510,0.9464410000017633,60510,0.45657615167059773,0.01011412770250629,60510
159,6.0,60883,0.9461053000017744,60883,0.18733670956008236,0.009791790833415828,60883
160,6.0,61355,0.9456805000017884,61355,0.1603665816660781,0.009229676040608172,61355
161,6.0,61648,0.9454168000017971,61648,0.2082106904237954,0.007998226849765934,61648
162,6.0,61908,0.9451828000018048,61908,0.398456021068761,0.009369754937450545,61908
163,6.0,62280,0.9448480000018158,62280,0.18988240354003444,0.008171272701464883,62280
164,6.0,62665,0.9445015000018272,62665,0.19105910148907018,0.008643871531579885,62665
165,22.0,63230,0.9439930000018439,63230,0.45186035660779583,0.008908335224208133,63230
166,6.0,63602,0.943658200001855,63602,0.1944981970854344,0.008694442705863396,63602
167,7.0,63961,0.9433351000018656,63961,0.20557919660360036,0.009217391130747921,63961
168,6.0,64426,0.9429166000018794,64426,0.1545837760532415,0.008841699450427006,64426
169,22.0,64767,0.9426097000018895,64767,0.5345396451062121,0.009137191562032562,64767
170,33.0,65178,0.9422398000019017,65178,0.4863476954998761,0.00864813729034116,65178
171,6.0,65538,0.9419158000019123,65538,0.18732754583987926,0.009023870948132956,65538
172,6.0,65897,0.941592700001923,65897,0.1915890166126088,0.00881073677830961,65897
173,6.0,66297,0.9412327000019348,66297,0.17549664768390358,0.008789852247136878,66297
174,6.0,66752,0.9408232000019483,66752,0.14943218741279382,0.008306204310521115,66752
175,6.0,67110,0.9405010000019589,67110,0.19747694493297424,0.008648320803270472,67110
176,7.0,67426,0.9402166000019683,67426,0.22016289100475325,0.009193012867560552,67426
177,24.0,67853,0.9398323000019809,67853,0.44769651848447684,0.009069069324999686,67853
178,6.0,68315,0.9394165000019946,68315,0.1589034605545528,0.008711628770761624,68315
179,7.0,68579,0.9391789000020024,68579,0.373906416423393,0.00962885358713913,68579
180,23.0,68986,0.9388126000020145,68986,0.5317131884542525,0.008802269572988198,68986
181,21.0,69425,0.9384175000020275,69425,0.4321335989447281,0.008150112432674855,69425
182,22.0,69730,0.9381430000020365,69730,0.5866166128120461,0.008433646524179972,69730
183,7.0,70018,0.9378838000020451,70018,0.3468318390659988,0.007465546263827289,70018
184,6.0,70420,0.937522000002057,70420,0.2966860774997158,0.010466321361649652,70420
185,6.0,70803,0.9371773000020683,70803,0.17062130871936484,0.008806613362673913,70803
186,22.0,71185,0.9368335000020797,71185,0.5114030640630822,0.009144564012628711,71185
187,6.0,71550,0.9365050000020905,71550,0.20410020063592962,0.00990218126266072,71550
188,6.0,72080,0.9360280000021062,72080,0.14908381566967605,0.010223737640530398,72080
189,8.0,72339,0.9357949000021138,72339,0.49214100872227584,0.008969930974176895,72339
190,6.0,72722,0.9354502000021252,72722,0.17531813002208504,0.010092371847667772,72722
191,6.0,73193,0.9350263000021392,73193,0.17820015264924166,0.00893776113311503,73193
192,30.0,73658,0.9346078000021529,73658,0.44900594007584355,0.008753921950150841,73658
193,6.0,74020,0.9342820000021637,74020,0.3434413858787131,0.01001657231422064,74020
194,7.0,74327,0.9340057000021728,74327,0.3587287646211708,0.009803487829115479,74327
195,6.0,74786,0.9335926000021864,74786,0.1614158905084876,0.009790583007054886,74786
196,6.0,75253,0.9331723000022002,75253,0.15306499436082882,0.009708325117659442,75253
197,6.0,75672,0.9327952000022126,75672,0.17861897213860173,0.007990146269616149,75672
198,6.0,76128,0.9323848000022261,76128,0.1708964094715683,0.008149523897085792,76128
199,42.0,76773,0.9318043000022452,76773,0.49443061619766,0.008472475153484288,76773
200,6.0,77140,0.9314740000022561,77140,0.20032757021263445,0.009257270862519353,77140
201,22.0,77659,0.9310069000022715,77659,0.39022570404875484,0.009064634608094507,77659
202,35.0,78214,0.9305074000022879,78214,0.5619643962329572,0.008890581100514192,78214
203,34.0,78609,0.9301519000022996,78609,0.4929249076337754,0.009030263492383676,78609
204,6.0,78916,0.9298756000023087,78916,0.2036127532295373,0.008454718297887411,78916
205,6.0,79393,0.9294463000023229,79393,0.2349910704688456,0.008864690576639979,79393
206,32.0,79921,0.9289711000023385,79921,0.5424002789553594,0.008732044673844499,79921
207,7.0,80339,0.9285949000023509,80339,0.19658809306732775,0.011350793677101437,80339
208,21.0,80656,0.9283096000023603,80656,0.634254314639967,0.009297928070518767,80656
209,6.0,80968,0.9280288000023695,80968,0.22240596195348564,0.009272276954083608,80968
210,6.0,81432,0.9276112000023833,81432,0.1740214924713404,0.009665861421471446,81432
211,7.0,81743,0.9273313000023925,81743,0.4058029429082702,0.010731363160890553,81743
212,18.0,82038,0.9270658000024012,82038,0.8894845658692263,0.009057582746520323,82038
213,7.0,82457,0.9266887000024137,82457,0.18910165824582867,0.008646393486249722,82457
214,7.0,82813,0.9263683000024242,82813,0.34194691142255673,0.012507365871969024,82813
215,7.0,83095,0.9261145000024326,83095,0.3881223130680568,0.009929524771976516,83095
216,6.0,83543,0.9257113000024458,83543,0.25169746519532055,0.010534193467849815,83543
217,6.0,83886,0.925402600002456,83886,0.42086962091331925,0.010008020128623063,83886
218,40.0,84560,0.924796000002476,84560,0.5737764027732416,0.00977702976241763,84560
219,24.0,84939,0.9244549000024872,84939,0.5415267916027663,0.010082808130727601,84939
220,6.0,85318,0.9241138000024984,85318,0.18488131833107932,0.009082306230792132,85318
221,24.0,85835,0.9236485000025138,85835,0.47457254826446105,0.009714436848495675,85835
222,22.0,86524,0.9230284000025342,86524,0.31907621009818704,0.010821037245620346,86524
223,6.0,86906,0.9226846000025455,86906,0.2188874860123502,0.010108246902203192,86906
224,7.0,87280,0.9223480000025566,87280,0.3141148995189743,0.00984806776106517,87280
225,40.0,87957,0.9217387000025766,87957,0.5434741857771155,0.010534932754006639,87957
226,23.0,88341,0.921393100002588,88341,0.6900071515507685,0.010462766502011315,88341
227,6.0,88586,0.9211726000025953,88586,0.3868405181838542,0.009882778291025065,88586
228,6.0,88975,0.9208225000026068,88975,0.18513843118378312,0.009730766453659927,88975
229,6.0,89348,0.9204868000026178,89348,0.26764877561989164,0.008405415531096172,89348
230,6.0,89799,0.9200809000026312,89799,0.199784286997535,0.009731689316441023,89799
231,7.0,90132,0.9197812000026411,90132,0.35605510178807975,0.010246110140512398,90132
232,33.0,90556,0.9193996000026536,90556,0.7428864779759128,0.012951466424845352,90556
233,6.0,90936,0.9190576000026649,90936,0.2101164512532322,0.009797254110239201,90936
234,6.0,91268,0.9187588000026747,91268,0.2611595091286553,0.011769942216244134,91268
235,7.0,91620,0.9184420000026852,91620,0.3516489538491111,0.010917841200518358,91620
236,23.0,92007,0.9180937000026966,92007,0.5397393252382907,0.01106306003708662,92007
237,10.0,92276,0.9178516000027046,92276,0.5979284981203346,0.011980820835185441,92276
238,6.0,92666,0.9175006000027162,92666,0.2039930194998399,0.011544630766132822,92666
239,23.0,93195,0.9170245000027318,93195,0.37496830990611946,0.011538621187403742,93195
240,21.0,93608,0.9166528000027441,93608,0.6050032233823875,0.01141105339470315,93608
241,7.0,93993,0.9163063000027555,93993,0.33109619292345915,0.011054354145300465,93993
242,7.0,94336,0.9159976000027656,94336,0.37124943950433426,0.013048367220049713,94336
243,6.0,94719,0.915652900002777,94719,0.21695392041931574,0.011205888370917648,94719
244,7.0,95087,0.9153217000027879,95087,0.27301828071232076,0.010410421184212242,95087
245,6.0,95512,0.9149392000028005,95512,0.22161836585577796,0.012176659686956555,95512
246,6.0,95903,0.9145873000028121,95903,0.2025850945345276,0.010557455293637108,95903
247,6.0,96300,0.9142300000028238,96300,0.200586230895231,0.01287529666247421,96300
248,23.0,96693,0.9138763000028355,96693,0.593028094913365,0.012993088263855968,96693
249,7.0,97030,0.9135730000028455,97030,0.35879290145918596,0.012159708420295567,97030
250,6.0,97389,0.9132499000028561,97389,0.24334668025664966,0.01020043927700775,97389
251,7.0,97662,0.9130042000028642,97662,0.4228342485788104,0.009704331474441816,97662
252,18.0,98025,0.912677500002875,98025,0.8321109260368281,0.0105145556006206,98025
253,6.0,98486,0.9122626000028886,98486,0.19315909532882644,0.01024337710649555,98486
254,24.0,98857,0.9119287000028996,98857,0.7737016287454055,0.00970460850016824,98857
